Gene	TCGA-N5-A4R8-01A-11R-A28Z-13	TCGA-N5-A4RA-01A-11R-A28Z-13	TCGA-N5-A4RD-01A-11R-A28Z-13	TCGA-N5-A4RF-01A-11R-A28Z-13	TCGA-N5-A4RJ-01A-11R-A28Z-13	TCGA-N5-A4RM-01A-11R-A28Z-13	TCGA-N5-A4RN-01A-12R-A28Z-13	TCGA-N5-A4RO-01A-11R-A28Z-13	TCGA-N5-A4RS-01A-11R-A28Z-13	TCGA-N5-A4RT-01A-11R-A28Z-13	TCGA-N5-A4RU-01A-31R-A28Z-13	TCGA-N5-A4RV-01A-21R-A28Z-13	TCGA-N5-A59E-01A-11R-A28Z-13	TCGA-N5-A59F-01A-11R-A28Z-13	TCGA-N6-A4V9-01A-11R-A28Z-13	TCGA-N6-A4VC-01A-11R-A28Z-13	TCGA-N6-A4VD-01A-11R-A28Z-13	TCGA-N6-A4VE-01A-11R-A28Z-13	TCGA-N6-A4VF-01A-31R-A28Z-13	TCGA-N6-A4VG-01A-31R-A28Z-13	TCGA-N7-A4Y5-01A-12R-A28Z-13	TCGA-N7-A4Y8-01A-11R-A28Z-13	TCGA-N7-A59B-01A-11R-A28Z-13	TCGA-N8-A4PI-01A-21R-A28Z-13	TCGA-N8-A4PL-01A-11R-A28Z-13	TCGA-N8-A4PM-01A-11R-A28Z-13	TCGA-N8-A4PN-01A-11R-A28Z-13	TCGA-N8-A4PO-01A-11R-A28Z-13	TCGA-N8-A4PP-01A-11R-A28Z-13	TCGA-N8-A4PQ-01A-11R-A28Z-13	TCGA-N8-A56S-01A-11R-A28Z-13	TCGA-N9-A4PZ-01A-22R-A28Z-13	TCGA-N9-A4Q1-01A-11R-A28Z-13	TCGA-N9-A4Q3-01A-11R-A28Z-13	TCGA-N9-A4Q4-01A-11R-A28Z-13	TCGA-N9-A4Q7-01A-11R-A28Z-13	TCGA-N9-A4Q8-01A-31R-A28Z-13	TCGA-NA-A4QV-01A-11R-A28Z-13	TCGA-NA-A4QW-01A-11R-A28Z-13	TCGA-NA-A4QX-01A-11R-A28Z-13	TCGA-NA-A4QY-01A-11R-A28Z-13	TCGA-NA-A4R0-01A-11R-A28Z-13	TCGA-NA-A4R1-01A-11R-A28Z-13	TCGA-NA-A5I1-01A-21R-A28Z-13	TCGA-ND-A4W6-01A-11R-A28Z-13	TCGA-ND-A4WA-01A-12R-A28Z-13	TCGA-ND-A4WC-01A-21R-A28Z-13	TCGA-ND-A4WF-01A-11R-A28Z-13	TCGA-NF-A4WU-01A-11R-A28Z-13	TCGA-NF-A4WX-01A-11R-A28Z-13	TCGA-NF-A4X2-01A-11R-A28Z-13	TCGA-NF-A5CP-01A-12R-A28Z-13	TCGA-NG-A4VU-01A-11R-A28Z-13	TCGA-NG-A4VW-01A-11R-A28Z-13	TCGA-QM-A5NM-01A-11R-A28Z-13	TCGA-QN-A5NN-01A-11R-A28Z-13
hsa-miR-100-3p|MIMAT0004512	39	9	9	5	1	2	1	6	2	14	8	6	6	NA	8	4	1	10	8	3	3	NA	1	2	NA	3	9	4	4	6	7	2	2	5	5	NA	2	7	NA	3	NA	2	NA	NA	1	4	4	NA	1	1	NA	2	2	1	NA	2
hsa-miR-101-5p|MIMAT0004513	43	64	35	12	22	25	33	36	31	5	36	38	17	43	34	14	18	17	5	43	42	28	47	5	41	13	18	73	18	10	34	36	134	27	31	48	21	72	41	20	8	34	5	11	44	20	14	28	14	23	3	3	9	15	7	8
hsa-miR-101-3p|MIMAT0000099	19997	27610	51015	8492	19769	21278	8830	14524	19476	10042	32655	53896	8329	27770	17472	10211	14846	16432	19809	53615	19262	8915	28465	7993	17293	9493	27234	31416	15436	13799	29229	25052	31653	28678	27951	23170	16939	36940	36974	21313	10852	24079	15398	16101	37576	30180	13350	19064	17100	26035	6856	7632	10505	17294	19946	13825
hsa-miR-29b-1-5p|MIMAT0004514	1	15	16	31	11	17	9	11	15	4	21	9	12	8	13	65	16	2	23	7	1	7	11	11	2	5	6	6	21	23	29	10	12	22	5	37	55	40	16	11	6	41	5	4	20	57	28	7	90	2	17	24	1	9	8	43
hsa-miR-29b-3p|MIMAT0000100	364	1635	999	686	943	1495	863	658	1614	295	1525	2446	747	1421	895	2834	1346	551	1618	1177	381	582	1517	689	466	729	661	1611	3786	776	1244	2594	1626	1302	876	3549	2641	2145	1002	520	765	2117	1316	481	4266	4912	4006	712	7194	181	1309	1920	533	791	848	1542
hsa-miR-29b-2-5p|MIMAT0004515	29	57	199	44	124	58	20	22	192	46	43	38	32	155	46	75	113	46	84	59	14	36	169	89	32	37	102	83	64	44	74	65	45	90	36	99	49	118	54	42	40	121	81	59	59	105	98	51	60	20	40	71	49	59	88	50
hsa-miR-103a-2-5p|MIMAT0009196	44	57	86	62	29	36	28	64	96	39	76	61	24	68	21	35	39	50	63	43	20	10	51	24	31	52	64	71	30	49	20	50	66	36	57	18	50	65	36	19	70	19	31	79	51	57	9	88	42	85	21	43	23	31	56	43
hsa-miR-103a-3p|MIMAT0000101	178708	126999	325313	166542	128650	123567	65776	148222	215219	113750	160126	370686	95011	206866	110528	121376	148665	135693	181205	351920	46156	74902	161696	101050	146423	136875	162247	287902	93261	165259	149660	172825	132366	193557	131724	118607	236539	159003	165676	125099	200848	80087	171216	138040	149206	201152	71541	125360	112379	187724	80098	123018	89762	104844	254977	217102
hsa-miR-105-5p|MIMAT0000102	1138	91	775	140	167	68	1	103	118	931	439	865	391	19	6	27	5241	1289	601	29	19	8	14	134	54	72	1894	270	6	1009	361	325	162	147	705	498	18	971	669	57	5	14	17	732	256	85	2	50	53	1282	1990	46	34	1	10	41
hsa-miR-105-3p|MIMAT0004516	4	NA	2	NA	1	NA	NA	NA	NA	5	2	4	NA	NA	NA	NA	15	4	2	NA	NA	NA	NA	NA	NA	NA	4	1	NA	1	NA	3	1	NA	NA	1	NA	4	2	NA	NA	1	NA	2	NA	NA	NA	1	NA	3	6	NA	NA	NA	NA	1
hsa-miR-106a-5p|MIMAT0000103	880	336	895	139	193	173	1629	543	596	459	459	1126	93	589	247	381	143	309	1119	716	146	401	237	171	1079	583	304	1283	292	364	438	403	157	373	45	353	1112	315	601	565	527	151	32	348	486	501	122	453	266	459	108	403	769	370	1709	546
hsa-miR-106a-3p|MIMAT0004517	2	5	2	1	3	1	NA	1	9	6	2	10	3	3	3	NA	NA	3	13	7	3	1	4	NA	2	1	6	1	1	NA	3	2	NA	3	NA	NA	2	NA	3	5	1	NA	NA	1	NA	4	NA	1	1	3	1	2	1	3	11	3
hsa-miR-107|MIMAT0000104	436	240	737	280	287	257	124	194	590	184	384	1261	284	395	184	258	257	139	395	1173	140	148	231	129	340	320	476	393	191	241	369	304	450	362	295	214	372	192	412	401	468	143	656	161	232	359	111	367	308	529	227	237	263	268	718	565
hsa-miR-16-2-3p|MIMAT0004518	65	169	111	74	53	48	113	98	70	49	60	225	81	59	47	49	47	203	61	95	61	20	50	22	54	46	150	95	79	39	60	50	112	64	57	41	70	178	54	84	15	42	137	45	70	97	50	105	27	94	92	53	41	58	89	53
hsa-miR-192-5p|MIMAT0000222	2448	2171	4509	1046	55095	778	996	2759	5416	8124	2150	6393	25117	2741	419	1248	2036	1464	1845	1770	930	746	1168	1490	673	3194	15596	1530	3684	2918	17269	3131	2460	3375	9041	46371	1157	7759	4277	1666	4224	1271	1412	4530	6254	1470	1696	4462	3420	6223	3064	1611	1242	3565	2288	4218
hsa-miR-192-3p|MIMAT0004543	9	11	10	4	231	2	NA	22	21	19	11	19	70	11	1	1	8	5	6	8	NA	3	1	4	3	14	67	5	13	4	42	15	11	12	20	186	7	36	8	5	13	NA	8	14	20	5	3	12	12	8	4	5	2	15	8	14
hsa-miR-196a-5p|MIMAT0000226	73	3399	4583	4798	139	1792	142	3347	479	1949	39	20	2886	143	2514	423	52	109	19	1311	4139	5263	38	198	190	849	7543	405	243	4878	757	53	3593	1191	1659	1594	35	295	8858	945	1475	48	9528	244	6877	149	140	2087	78	166	295	375	132	174	1087	11403
hsa-miR-197-3p|MIMAT0000227	4350	9120	7764	4411	3813	5692	1484	2348	4559	4338	4066	8838	3770	2514	2112	2037	2200	2861	2695	4067	4451	4524	5662	2734	2940	3230	4156	4499	2353	2821	1844	4023	4588	4965	5886	857	2487	4542	3084	2279	4404	2520	3256	3169	3382	2491	1394	4204	4941	5836	3155	2528	2617	2305	2720	2122
hsa-miR-198|MIMAT0000228	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
hsa-miR-199a-5p|MIMAT0000231	96361	31997	35671	36926	49902	48306	103803	29342	13642	53906	102088	93665	58588	23729	27464	12405	415	19922	61849	56210	22038	14045	925	4988	50640	13296	74156	14860	16126	74450	25233	47099	65525	35776	67791	3380	3482	74845	60940	53624	38067	18759	66343	40107	50325	11422	3593	53593	2933	41796	33017	13326	26500	11728	35490	87199
hsa-miR-199a-3p|MIMAT0000232	86132	39354	56132	50553	66060	43714	93409	36705	19520	50838	108952	96818	59771	34904	28728	12965	1039	24768	92632	57273	17328	11221	2124	5675	52888	16268	93571	20798	17318	61007	27584	78027	70371	36323	70048	7140	5465	106872	50968	44676	46370	26559	57044	53841	80669	17363	6224	50216	6000	47191	31848	22877	22066	14594	36156	102887
hsa-miR-208a-3p|MIMAT0000241	1	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5	NA	NA	NA	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
hsa-miR-129-5p|MIMAT0000242	2926	150	1236	5	221	36	14	248	32	482	79	7	99	21	11	5	188	100	34	75	47	19	22	11	30	70	104	33	24	244	112	67	815	28	125	3	1	47	1660	1017	20	12	477	42	35	25	7	1144	18	268	2	12	68	51	17	13
hsa-miR-129-1-3p|MIMAT0004548	1	3	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	2	1	NA	NA	3	NA	1	1	NA	1	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA	NA	2	NA	2	NA	NA	4	2	NA	NA
hsa-miR-148a-5p|MIMAT0004549	78	98	408	107	69	94	73	20	105	138	195	95	113	137	66	39	99	111	64	72	50	38	153	257	28	45	80	148	37	76	53	122	148	124	63	50	124	121	80	80	99	110	207	68	160	233	33	237	49	169	18	96	46	72	524	88
hsa-miR-148a-3p|MIMAT0000243	75308	131819	317186	148024	102508	135987	220402	27725	170393	149418	226261	66011	120134	234792	120592	63910	228376	192697	126043	66206	91512	57884	422123	368044	52255	73580	132526	214103	90772	139764	97667	299382	312653	175566	82798	133226	191069	338345	190003	115710	113604	217784	224961	132143	419503	259342	52390	339279	111827	214723	52993	211205	111379	119743	951602	116199
hsa-miR-30c-5p|MIMAT0000244	7114	6428	6462	4972	7509	3860	5522	5274	8380	2330	10595	5232	5316	8785	3530	5849	7950	3629	7045	19072	4350	2316	9142	3888	7882	5209	5643	13642	4790	5364	11279	5028	10366	8474	4932	4754	5465	10444	13146	6098	3891	6458	4380	6820	9460	9060	2343	5468	6632	7056	1661	2764	4948	5055	7479	2830
hsa-miR-30c-2-3p|MIMAT0004550	314	112	323	98	300	70	85	181	148	140	176	285	114	171	23	179	303	141	218	1972	15	20	64	118	445	129	80	288	119	120	626	89	72	293	121	165	84	58	283	122	65	388	21	75	273	353	292	118	44	80	24	20	15	185	234	83
hsa-miR-30d-5p|MIMAT0000245	43005	41831	37621	17432	28633	22143	8988	12648	31129	7455	94051	25880	13781	49199	28143	22776	52378	21349	33214	67565	48950	6165	22319	27091	37000	17257	28604	58045	18755	35141	32390	37806	48237	20311	18623	11708	59833	24501	48803	26364	22125	20255	34235	45473	47628	31674	11726	42083	31277	47980	9395	72295	41890	42847	66817	60686
hsa-miR-30d-3p|MIMAT0004551	22	34	27	21	30	29	7	7	27	4	52	21	15	25	24	21	36	163	15	41	19	10	23	21	17	22	26	31	14	19	18	15	37	10	25	9	28	35	44	16	11	19	30	13	20	28	80	35	25	36	17	62	17	29	27	55
hsa-miR-139-5p|MIMAT0000250	129	118	223	45	438	52	75	25	36	87	165	111	47	90	21	26	96	30	363	67	384	46	98	35	9	160	381	162	54	214	211	40	68	28	106	18	30	150	371	295	91	176	125	59	290	87	67	190	35	77	96	102	644	67	33	194
hsa-miR-139-3p|MIMAT0004552	6	4	22	2	33	3	5	NA	6	6	10	10	3	9	NA	NA	2	6	28	4	13	3	4	NA	NA	11	17	17	2	8	14	3	1	6	10	1	3	18	15	20	4	9	11	1	20	5	7	12	1	5	7	8	18	9	6	21
hsa-miR-147a|MIMAT0000251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-7-5p|MIMAT0000252	26	8	37	13	17	14	2	9	293	29	14	3	11	12	40	11	64	8	14	9	3	5	19	10	12	24	7	12	7	2	7	8	5	13	17	16	5	5	4	4	13	9	7	9	14	5	3	14	67	7	15	52	NA	7	9	11
hsa-miR-7-1-3p|MIMAT0004553	126	81	262	61	156	278	43	94	470	288	71	161	170	161	101	173	407	136	114	105	36	69	319	79	86	550	86	48	90	23	98	50	137	157	160	162	100	452	136	31	34	215	56	41	77	91	284	103	516	127	267	390	27	62	80	75
hsa-miR-7-2-3p|MIMAT0004554	NA	1	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	3	1	NA	6	1	NA	NA	2	1	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	4	2	NA	3	1	1	NA	NA	NA	2	1	NA	NA	1	1	1	NA	NA	NA	1	NA	NA
hsa-miR-10a-5p|MIMAT0000253	244290	51441	89624	207414	317568	152700	25247	57930	960274	53299	145334	22418	130978	470920	17084	643442	9041	70196	615909	617336	8858	5276	17227	283171	513093	336284	67414	1530386	56976	230154	89231	323256	208909	633034	9513	33528	680012	52563	123371	32310	603428	255161	387816	506157	298783	3687800	79216	70568	1813808	1127936	86589	269801	8971	960113	1038957	697786
hsa-miR-10a-3p|MIMAT0004555	29	6	9	27	32	14	3	12	92	6	15	2	17	39	2	84	NA	18	51	83	1	NA	NA	27	62	35	7	179	1	11	6	26	33	65	NA	3	82	4	7	4	70	24	27	52	23	307	13	6	165	87	9	30	NA	93	84	102
hsa-miR-10b-5p|MIMAT0000254	334597	276591	793173	135215	1077274	1086737	827527	594877	889204	316685	629994	1937515	272906	1798547	562919	422069	80637	91178	971868	2574330	229264	448707	1498913	301515	321815	148347	2623183	590918	750530	598848	1154437	1065753	556783	964092	462318	119735	149541	2034785	746742	725961	624926	839092	2174354	616487	770106	180378	509669	1286156	619924	1014802	426440	222127	483693	422343	2354983	149305
hsa-miR-10b-3p|MIMAT0004556	118	88	365	31	231	121	186	108	154	68	209	993	63	350	92	61	9	21	194	789	41	132	229	51	91	23	522	114	119	160	196	186	96	224	68	21	31	296	199	378	218	132	489	106	127	27	89	216	167	319	69	54	91	69	776	49
hsa-miR-34a-5p|MIMAT0000255	94	540	452	170	179	350	71	495	154	159	134	96	155	591	169	215	995	141	428	231	113	172	508	174	74	88	277	591	109	270	295	412	498	211	74	570	137	293	828	361	61	599	593	267	776	493	524	207	441	53	226	600	124	643	536	474
hsa-miR-34a-3p|MIMAT0004557	1	4	4	NA	2	1	1	3	NA	1	2	2	2	6	NA	1	5	3	1	3	1	3	2	2	1	3	6	4	NA	1	1	2	3	4	2	4	1	NA	7	1	NA	1	2	2	1	3	12	5	5	2	1	4	1	1	1	2
hsa-miR-181a-5p|MIMAT0000256	23185	12129	27737	9032	16584	17192	11212	11016	30830	8108	44802	149201	11226	8965	19464	16132	4080	5100	23358	34644	12020	4505	3042	2636	19519	8407	21527	13080	5766	9787	18677	11833	21265	22595	12243	6721	4214	10341	30166	22427	9058	10018	9947	12690	11072	25691	3087	22866	25329	25478	8732	9373	4259	3697	7906	7361
hsa-miR-181a-2-3p|MIMAT0004558	12410	11131	8626	12044	6014	5918	7454	18702	15344	3626	17577	21682	5554	7388	8837	4351	8557	10931	13172	22387	6108	2516	3942	2899	17308	15138	19199	9548	5290	6217	11834	6590	19558	13268	15043	1210	1769	15299	26487	14256	6833	10584	2043	11400	5480	12572	8447	8442	37300	14017	7425	4387	4798	4990	8422	3112
hsa-miR-181b-5p|MIMAT0000257	12251	5410	9731	4702	5345	5510	3363	6239	10157	4778	20088	31515	4405	3908	4826	6092	977	2003	6041	16539	3252	1826	723	1132	5464	5296	10238	4764	2261	6064	8948	4479	8481	8111	6061	2069	1474	6339	18087	9042	4132	2329	1654	4186	5222	7450	1281	10330	6458	11021	4965	3434	2359	1024	2456	2213
hsa-miR-181c-5p|MIMAT0000258	240	142	283	76	364	108	138	291	435	104	457	859	312	581	179	103	373	337	233	543	142	33	902	302	210	681	131	800	71	123	381	305	535	321	273	161	165	283	374	91	120	173	292	326	287	1240	94	318	232	710	99	168	46	158	945	227
hsa-miR-181c-3p|MIMAT0004559	489	251	470	157	504	209	221	498	464	507	649	1934	498	429	205	278	591	710	473	951	178	81	1027	698	427	1868	302	960	172	180	343	314	623	646	601	107	241	230	744	177	263	268	993	326	234	1453	399	719	395	1089	310	95	101	188	833	352
hsa-miR-182-5p|MIMAT0000259	213696	1972691	491078	42845	36733	205285	15220	68457	291882	81216	105614	14191	125361	97926	243455	219843	157388	137813	560440	147950	421420	104648	471530	75495	79719	143968	59425	121497	75201	208780	126672	77218	832067	49465	634710	122930	385385	72044	708135	367336	18275	180588	962727	151028	108503	6067	124916	338918	216161	143093	5767	154629	667791	158826	547915	84835
hsa-miR-182-3p|MIMAT0000260	2	10	3	NA	NA	2	NA	NA	4	1	1	NA	NA	NA	NA	NA	2	4	3	NA	2	NA	1	NA	NA	2	NA	1	NA	NA	NA	NA	2	NA	8	NA	1	1	1	1	NA	1	4	NA	1	NA	1	NA	3	1	NA	2	2	2	4	NA
hsa-miR-183-5p|MIMAT0000261	157431	1141524	225330	23828	17983	79671	5913	37069	104344	48288	68273	6302	67527	36215	99174	151033	68996	86416	250203	89031	247811	39423	204841	32689	32837	91247	39393	48125	41395	126077	57299	43030	465471	24231	491764	49865	217128	22488	310948	189809	11625	77761	437947	91939	57745	2455	70342	237836	103544	54737	3646	68930	399801	58852	187767	43558
hsa-miR-183-3p|MIMAT0004560	11	168	20	2	NA	3	NA	7	9	2	6	NA	10	3	10	18	5	20	18	12	7	1	8	1	NA	9	3	7	5	10	3	4	34	1	53	1	19	1	14	16	NA	7	36	5	4	1	11	16	15	8	1	2	19	3	11	4
hsa-miR-187-5p|MIMAT0004561	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA
hsa-miR-187-3p|MIMAT0000262	60	15	132	6	10	22	11	32	39	58	28	23	105	373	17	59	443	349	67	44	10	3	27	130	25	47	21	40	29	52	25	57	7	7	6	4	42	185	8	42	11	9	122	85	38	14	8	49	97	74	34	47	5	29	241	110
hsa-miR-196a-3p|MIMAT0004562	NA	4	NA	4	NA	NA	NA	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA	NA	8	NA	1	NA	NA	NA	5	2	1	1	NA	NA	NA	NA	3	NA	1	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14
hsa-miR-199b-5p|MIMAT0000263	6074	4638	13087	11895	6820	4382	6484	3602	1586	2472	26772	16361	11744	6196	719	535	470	3541	6991	5108	3774	2077	206	591	7103	4807	4645	8121	2058	6255	4666	6011	7044	3777	7382	274	1175	14550	2589	4698	3972	1778	788	8925	6305	3001	719	11702	966	6561	3167	3847	844	1174	1531	5554
hsa-miR-199b-3p|MIMAT0004563	85743	39128	55893	50143	65766	43283	92283	36500	19442	50603	108551	96317	59622	34542	28157	12908	1030	24369	91661	57073	17227	11034	2096	5620	52606	16177	93396	20611	17066	60549	27330	77610	70249	36132	69892	7010	5403	106641	50549	44311	46114	26393	56839	53423	79837	17255	6178	49725	5964	47020	31741	22726	21911	14497	35725	102335
hsa-miR-203a-3p|MIMAT0000264	1248	6802	5475	7007	13193	16689	1702	2232	13943	28068	586	3743	5491	15999	56777	25389	36007	124703	11163	13445	219	1605	20724	1553	2809	65826	4489	16806	1161	6967	14731	49982	2222	11488	6991	195	7136	21439	1496	3601	1736	5714	15871	107262	14142	5378	5865	6981	9559	84043	574	21392	1401	7869	74823	59560
hsa-miR-204-5p|MIMAT0000265	1032	168	1248	19	213	172	10	138	217	53	10	253	726	205	29	3	600	269	1896	171	13	6	14	3617	37	408	116	131	97	125	197	272	44	245	12	95	27	161	65	94	30	262	7	347	178	309	20	36	106	350	8	81	10	310	32	201
hsa-miR-205-5p|MIMAT0000266	303	60	167	523	2083	4605	412	92	9518	1254	151	275	518	1119	108884	13997	3536	19770	4454	2056	48	62	8761	295	213	3657	669	6423	56	80	1258	8125	271	322	4653	19	7859	1610	68	17	674	713	104	7811	208	50	20	54	2566	430	531	1545	51	18517	18228	9359
hsa-miR-205-3p|MIMAT0009197	NA	NA	NA	1	2	2	NA	NA	8	NA	NA	NA	NA	1	32	7	NA	9	1	1	NA	NA	2	NA	NA	1	NA	4	NA	1	NA	NA	NA	NA	3	NA	4	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	1	1	NA	1	NA	8	6	3
hsa-miR-210-3p|MIMAT0000267	7913	13427	8959	12247	5632	7294	2271	17288	12776	6198	3112	14253	5041	2196	3969	7416	14706	6304	8417	6437	1897	2700	7846	11744	5539	9840	6719	6222	18301	1052	3827	5440	6887	4462	1435	2443	7947	6223	8089	8657	987	3474	31628	4756	2360	5859	12806	26825	7799	6269	11964	2941	4751	3925	12499	2882
hsa-miR-211-5p|MIMAT0000268	NA	NA	NA	NA	4	1	NA	1	NA	2	11	1	NA	13	2	NA	2	2	NA	7	NA	NA	1	NA	15	2	6	NA	NA	NA	25	3	1	3	NA	1	2	85	NA	NA	NA	1	NA	NA	3	1	NA	1	NA	NA	NA	1	NA	NA	NA	30
hsa-miR-212-3p|MIMAT0000269	166	29	47	90	69	5	5	173	15	9	79	32	38	27	7	13	17	13	37	112	11	15	5	15	32	28	19	33	13	38	38	5	62	19	34	14	19	11	46	38	105	24	38	16	75	9	34	50	3	79	13	21	7	11	6	36
hsa-miR-181a-3p|MIMAT0000270	7128	1642	5466	1791	2335	2595	2064	1726	3490	3349	6376	22688	1930	708	2828	2219	257	1559	5377	4831	1247	838	142	325	2543	709	4257	911	667	1724	2408	944	2828	3404	2834	639	590	770	5559	3902	1807	1516	2054	973	1405	3078	805	4045	3396	3809	3769	918	381	287	286	1369
hsa-miR-214-5p|MIMAT0004564	3942	1001	858	1578	1422	1641	1511	1043	394	1975	2294	1899	1900	567	632	293	5	598	1651	843	344	292	21	141	1369	402	1093	312	404	1480	468	1456	1768	855	1452	90	69	1627	1136	507	1060	527	1147	1264	1790	292	108	1192	82	946	957	382	454	265	881	1555
hsa-miR-214-3p|MIMAT0000271	779	311	294	718	437	272	462	359	223	455	839	417	741	107	91	76	1	222	368	338	81	41	10	49	206	101	358	140	88	385	67	479	1062	161	505	20	7	236	196	79	465	113	398	442	291	83	9	257	56	305	203	92	100	75	140	399
hsa-miR-215-5p|MIMAT0000272	11	12	22	5	11306	3	4	19	17	10	13	15	2855	21	11	10	4	11	42	16	7	2	33	7	9	11	18	10	6	7	374	36	18	8	184	237	4	56	21	10	13	23	21	93	16	10	NA	13	22	211	11	15	5	12	15	3
hsa-miR-216a-5p|MIMAT0000273	2	NA	5	1	1	NA	NA	1	1	NA	NA	3	NA	3	NA	1	14	2	9	2	NA	1	3	25	1	3	4	NA	1	2	9	4	7	1	5	1	NA	3	1	NA	8	2	NA	6	6	30	NA	1	5	1	NA	16	NA	2	NA	NA
hsa-miR-217|MIMAT0000274	121	204	376	118	155	60	57	37	151	233	27	104	94	295	7	54	1002	356	318	111	5	106	141	1501	83	152	188	159	49	196	447	273	341	135	420	137	8	351	112	106	827	209	29	1013	551	2219	53	18	546	229	11	1140	154	403	41	24
hsa-miR-218-5p|MIMAT0000275	9076	294	2330	3782	1765	303	426	4434	1254	697	1262	8123	1375	1395	230	880	326	766	1536	4198	163	1228	946	1774	728	1736	1739	774	673	1045	1570	365	2829	1300	3084	210	214	1252	537	602	2067	337	117	2697	2780	538	277	1563	1198	3491	371	340	179	155	1288	899
hsa-miR-218-1-3p|MIMAT0004565	118	3	18	30	22	1	NA	4	32	2	4	57	5	8	3	4	4	4	32	8	2	12	10	29	7	9	9	7	NA	3	19	5	16	9	13	1	3	6	12	4	6	8	2	2	22	3	2	11	12	42	2	4	1	NA	11	2
hsa-miR-218-2-3p|MIMAT0004566	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	2	1	NA	NA	NA	17	NA	12	NA	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	3	NA	1	NA	1	NA	NA	NA	NA	2	3	NA	1	NA	1	NA	3	NA	2	1	NA	NA	NA
hsa-miR-219a-5p|MIMAT0000276	171	30	98	49	27	34	22	59	29	13	31	63	43	46	10	21	300	64	19	34	5	38	10	10	61	39	33	62	37	21	45	20	102	38	34	10	16	24	31	23	33	9	3	52	28	61	2	34	29	97	8	90	11	14	30	27
hsa-miR-219a-1-3p|MIMAT0004567	116	37	123	43	45	29	17	58	17	68	36	85	49	67	14	9	27	282	11	66	4	66	3	14	43	23	75	35	46	33	90	24	39	78	46	12	26	21	69	25	36	15	3	40	53	44	47	52	29	135	9	3	6	8	19	13
hsa-miR-221-5p|MIMAT0004568	3	1	11	10	8	1	3	3	7	2	4	3	3	14	4	4	1	9	7	6	2	4	4	2	1	1	3	8	2	5	5	5	4	8	4	6	15	5	4	2	11	6	7	8	11	11	6	NA	5	6	4	2	NA	5	2	22
hsa-miR-221-3p|MIMAT0000278	181	210	1638	1707	1186	233	176	481	860	322	321	541	537	1696	498	738	274	1540	1157	867	147	431	183	164	334	752	171	807	339	317	976	2963	568	809	151	485	1869	926	1148	313	685	590	993	704	1706	1680	702	127	1141	1468	630	273	186	283	188	3990
hsa-miR-222-5p|MIMAT0004569	2	5	27	54	26	2	4	14	14	14	13	7	7	25	10	18	17	9	21	26	3	12	8	7	2	13	7	24	8	6	25	37	17	20	6	14	85	11	19	5	39	18	24	9	27	53	21	4	17	29	26	11	1	3	3	59
hsa-miR-222-3p|MIMAT0000279	53	50	597	815	443	63	85	199	422	131	123	129	156	668	186	246	108	487	370	268	39	191	75	72	130	309	73	256	120	112	368	1008	193	311	54	200	644	356	378	85	248	265	337	293	525	540	259	45	557	568	301	91	52	72	42	1189
hsa-miR-223-5p|MIMAT0004570	9	22	15	7	9	1	5	6	4	4	11	1	4	3	2	10	21	1	26	8	NA	1	5	10	7	3	8	5	49	9	3	5	20	4	1	11	3	7	1	8	9	16	1	2	48	4	11	NA	30	1	4	8	2	180	2	12
